custom_id,season,episode_number,episode_title,air_date,source_notes,has_false_suspect,has_public_exposure,needs_deep_review,summary
lo_s01_e18,1,18,The Secret Sharers,,Transcript appears truncated mid-trial,Y,Y,Y,"Jose Urbano, a drug dealer and parolee, is shot at a church fair. Initially, Hector Cartagena (Urbano's associate) is suspected and arrested. However, evidence later reveals that Nicky Guzman shot Urbano in revenge for raping Guzman's fiancée Lucy Rivers. Alicia Rivers (Lucy's sister) is also arrested for conspiracy but charges are dismissed. Both Cartagena and Alicia are publicly accused but later cleared. The transcript ends mid-trial for Nicky Guzman."
lo_s01_e19,1,19,The Serpent's Tooth,,Transcript appears complete through trial and arrest of Petrovich.,Y,Y,N,"Karl and Evelyn Jarmon are murdered in their home. Their sons Greg and Nick are arrested based on fingerprints on the murder weapon, powder residue, financial motive ($10M inheritance), and weak alibi. The boys had history of abuse from their father. Later investigation reveals business partner Alex Petrovich orchestrated the murders as part of Russian organized crime scheme to take over Jarmon Printing. Charges against the sons are dropped; Petrovich is convicted."
lo_s01_e20,1,20,The Troubles,,Transcript shows Law & Order S1E20 'The Troubles' involving IRA member Ian O'Connell and federal prisoners.,Y,Y,N,"A federal prisoner (Ahmed Mustafa) is murdered while in transit. Initially both surviving prisoners (Savino Montez and Ian O'Connell) are suspects. Montez is later found hanged in his cell, initially staged as suicide but proven to be murder by prison guard Patrick McCarter on O'Connell's orders. O'Connell, an IRA member held for 5 years without charges, is eventually prosecuted for Mustafa's murder after being granted asylum. Multiple people experience serious consequences from accusations before being cleared or shown innocent."
lo_s01_e21,1,21,Sonata for Solo Organ,,Transcript appears complete with full courtroom resolution.,N,N,N,"Drew MacDaniel is found in Central Park missing a kidney, which was illegally harvested and transplanted into Joanna Woodleigh. Dr. James Reberty and nurse Elaine Hale are arrested for the crime. While Reberty initially tries to shift blame to Hale, both are eventually convicted. Phillip Woodleigh (Joanna's father) is also prosecuted for conspiracy after evidence shows he knowingly paid for the illegal organ procurement. No innocent persons are falsely accused in this episode - the investigation correctly identifies the perpetrators from the start."
lo_s01_e22,1,22,The Blue Wall,,"Transcript shows a case about evidence tampering in a money laundering prosecution. Three bankers were acquitted after computer discs showing drug money trails were erased. Investigation reveals conspiracy involving Congressman Wilson, Chief O'Farrell, Officer McCrory, and Detective Shearer.",Y,Y,N,"Three bankers accused of money laundering were acquitted after evidence (computer discs) was tampered with. Captain Cragen was investigated and publicly suspected by IAD but proven innocent when he wore a wire that implicated Chief O'Farrell. The actual conspirators were O'Farrell, Congressman Wilson, McCrory, and Shearer."
lo_s02_e01,2,1,Confession,,Transcript involves Det. Max Greevey's murder investigation and subsequent coerced confession by Det. Mike Logan.,N,N,N,"Detective Max Greevey is murdered before testifying in a grand jury corruption case. His partner Mike Logan tracks down and coerces a confession from Daniel Magadan Jr. at gunpoint in an alley. Though Magadan confessed and was ultimately convicted, the confession was coerced under threat of death. The episode focuses on the legal consequences of Logan's conduct and the admissibility of evidence derived from the coerced confession. Magadan is convicted of first-degree murder and sentenced to 25 years to life."
lo_s02_e02,2,2,The Wages of Love,,Transcript analyzed per rubric,Y,Y,N,"Edward Cullen and his girlfriend Alexandra Beckett are murdered. Doug Phillips, Alexandra's ex-boyfriend, is arrested based on prints, motive (jealousy), and phone records. He is later cleared when evidence shows Melanie Cullen (Edward's estranged wife) committed the murders. Phillips was publicly arrested and indicted before being cleared."
lo_s02_e03,2,3,Aria,,"19-year-old actress Priscilla Blaine dies from amitriptyline overdose (200+ mg, 8+ tablets). Her mother Elizabeth Blaine pushed her into pornography to fulfill her own failed acting dreams. Priscilla left a desperate taped monologue for her mother a week before death. Mother is convicted of criminally negligent homicide.",N,N,N,"No falsely accused innocent persons are identified in this episode. The investigation consistently focuses on the victim's mother, Elizabeth Blaine, who is ultimately convicted. While the legal theory shifts from suicide to accidental overdose during trial, no other suspects are pursued or publicly accused then cleared. This is a case about parental pressure leading to death, not mistaken identification."
lo_s02_e04,2,4,Asylum,,"Nathan Robbins stabbed to death during street robbery. Christian Tatum ('Lemonhead') initially accused, later cleared. James Polesky convicted.",Y,Y,N,"Nathan Robbins is stabbed to death outside a coffee shop. Christian Tatum ('Lemonhead'), a homeless man with severe mental illness, is arrested when police find the victim's ring in his jacket pocket. He claims his friend 'James' did the stabbing. Investigation proves James Polesky committed the murder; Tatum accepts plea deal and testifies against Polesky. Tatum suffers severe mental deterioration from trial stress and anti-psychotic medication, ending up institutionalized at Bellevue in a 'rubber cell.'"
lo_s02_e05,2,5,God Bless the Child,,Transcript appears complete through trial testimony.,N,N,N,"Parents Ted and Nancy Driscoll are charged with manslaughter after their daughter Dinah dies from untreated strep throat due to their religious beliefs forbidding medical treatment. The case focuses on their Church of All Saints faith in spiritual healing. There are no falsely accused innocent parties—the parents are the defendants throughout, and while the prosecution struggles with proving their guilt, they are never cleared or replaced by other suspects. The housekeeper Mrs. Amado and church practitioner Sharon Barlow are witnesses, not accused persons."
lo_s02_e06,2,6,Misconception,,Transcript appears truncated at final cross-examination,Y,Y,Y,"Amy Newhouse is attacked and loses her pregnancy. Initially, detectives suspect her boyfriend Chris (a former disbarred lawyer turned cabbie). Evidence later points to her boss David Alcott, with whom she had an affair. Alcott is arrested and publicly tried for murder, then assault. Eventually it's revealed Amy and Chris orchestrated the entire scheme: Chris was the actual father (not Alcott), they blackmailed Alcott, then staged the attack themselves to file a civil suit. The transcript cuts off during Amy's cross-examination about whether they knew the legal definition of murder in NY."
lo_s02_e07,2,7,In Memory Of,,"Episode involves a 30-year-old cold case; victim Tommy Keegan, age 8, killed in 1962; remains found in 1992/1993",Y,Y,N,"Two men (Dorfman and Conover) living in the same building as victim Tommy Keegan were suspected by police and neighbors after the boy's 1962 disappearance. Ed Conover faced public suspicion and a separate accusation of approaching a boy at a church youth group. Both men were innocent; the actual killer was Thaddeus Messimer, the father of Tommy's friend Julie, who pled guilty 31 years later."
lo_s02_e08,2,8,Out of Control,,Transcript appears complete through trial verdict,N,N,N,"Andrea Fermi accuses fraternity members Ted Campion and Joel Holder of gang rape at a Halloween party. The case involves extensive investigation and trial, ending with both defendants acquitted. Andrea herself is not proven innocent of any accusation - she is the accuser/victim. Her ex-boyfriend Gary Burnham initially lies but cooperates after plea deal. No person in this episode qualifies as falsely accused then proven innocent with public harm."
lo_s02_e09,2,9,Renunciation,,Transcript provided,N,N,N,"A bartender is killed in a hit-and-run. Investigation reveals his wife Jenna Kealey was having an affair with her 16-year-old student Roy Pack. Roy confesses to the murder, claiming Jenna manipulated him. Jenna claims she tried to hire a hit man (David Kaufer) but renounced the plan, and that Roy acted alone out of obsession. However, the prosecution discovers Kaufer was lying - Jenna paid him to pretend to be a hit man to manipulate Roy into committing the murder, creating a false renunciation story as insurance. Both Roy and Jenna are guilty - Roy of the actual killing, Jenna of conspiracy and manipulation."
lo_s02_e10,2,10,Heaven,,Transcript of Law & Order S2E10. 53 people died in an arson attack on a social club (El Cielo). Investigation reveals conspiracy involving forged green cards.,Y,Y,N,"An arson attack on El Cielo social club kills 53 people. Police initially suspect Guillermo Ruiz, a drunk ex-boyfriend of a barmaid who threatened the club. Ruiz is brought in for questioning and his apartment searched, but his landlord provides an alibi (he was home asleep by 11:30). Investigation shifts to arson-for-profit targeting club owner Jose Rivera/Marcos, but Marcos dies in the fire. Police then identify Cesar Pescador through stolen green card use at hospital. Pescador confesses he was hired by Domingo Guerra to send a 'message' to Salvadorans who were threatening to expose Guerra's forged green card scheme. Guerra and INS agent James Collins are ultimately charged with the murders."
lo_s02_e11,2,11,His Hour Upon the Stage,,Transcript appears truncated at end during tape playback,Y,Y,N,"Broadway producer Joshua Foster is found murdered, frozen for 5 years. Investigation reveals he was killed by his fiancée Leslie Hart and partner Gary Wallace after threatening to expose drug money funding their show. Mario Forcelli is initially investigated as mob-connected, but cleared. Both Hart and Wallace are publicly exposed through arrest, indictment, and trial."
lo_s02_e12,2,12,Star Struck,,"SVU episode, not original Law & Order. Transcript shows opening with SVU intro ('sexually-based offenses'). Victim Marnie Owens is a teacher murdered after sexual assault. Main suspect Phillip Montrose eventually indicted for manslaughter.",Y,Y,N,"High school teacher Marnie Owens is raped and murdered. Multiple people are investigated and publicly exposed before Phillip Montrose is indicted. Ethan Chance, a student, is wrongly accused and arrested publicly. Dr. Byron Marks is interrogated and exposed. Marcus Cole is questioned. All are later cleared when evidence points to Montrose, who eventually gets indicted for manslaughter (not murder) after testimony about victim's sexual history influences grand jury."
lo_s02_e13,2,13,Severance,,Transcript appears complete through trial/plea resolution,N,N,N,Professional hitman Frank Kemp murders bookkeeper Janet Torrens (who was cooperating with FBI against defense contractor Charles Martine) plus two advertising executives (Craig Hovis and Peter Coyle) who witnessed the killing. Lawyer Larry Teasdale served as intermediary between Martine and Kemp. All three are arrested and eventually plead guilty after Kemp agrees to testify. No innocent persons were falsely accused - the investigation correctly identified all perpetrators from the start.
lo_s02_e14,2,14,Blood Is Thicker...,,Transcript appears truncated mid-sentence during final testimony.,Y,Y,Y,"Lois Ryder is murdered in an apparent mugging. Detectives investigate husband Jonathan Ryder, who tries to frame the murder as the work of a serial mugger. Dr. Joel Friedman (Lois's lover) is initially suspected. Henry Willard, a mugger, is arrested after pawning Lois's jewelry but claims he found it in a dumpster. Evidence suggests Jonathan Ryder killed his wife and planted evidence to frame the mugger. Transcript ends mid-trial during Friedman's testimony about identifying the pin Lois was wearing."
lo_s02_e15,2,15,Trust,,Full transcript provided,N,N,N,"Jaime Maser, age 15, shoots and kills his friend Robbie Fenwick with his father's .357 Magnum in what he claims is an accidental shooting during a 'trust' game. Investigation reveals a prior sealed juvenile shooting of Graham Campbell two years earlier with identical circumstances. Jaime is tried as an adult, initially acquitted by reason of mental defect (claiming Tracon intoxication), but then convicted of murder in the second degree for the Campbell shooting after the sealed record is opened and his mother testifies he threatened her with a gun saying 'Graham didn't believe me either.' No falsely accused persons identified in this episode."
lo_s02_e16,2,16,Vengeance,,Serial killer case; multiple victims murdered before episode begins; focus on prosecuting Albert Cheney for Judy Bream murder,N,N,N,"Detectives investigate the murder of Judy Bream, strangled in her apartment. They connect her death to two prior murders and identify Albert Cheney, a bookkeeper with access to victims' information through doctors' files and a prior conviction for a similar killing. Cheney is arrested and tried. His wife initially provides a false alibi but later testifies against him after being charged as an accessory. No innocent persons are publicly accused or harmed by false accusations in this episode - the investigation correctly identifies the perpetrator from the start."
lo_s02_e17,2,17,Sisters of Mercy,,Full transcript provided,Y,Y,N,"A teenage girl at a Catholic rehab facility accuses a nun of sexual molestation. Investigation reveals the nun was innocent and the girl fabricated the story to discredit the nun. The real perpetrator was the male Executive Director who had been sexually exploiting vulnerable teenage girls at the facility. Sister Bettina was publicly accused, investigated, and arrested before being cleared when the truth emerged."
lo_s02_e18,2,18,Cradle to Grave,,Transcript appears complete through the sting operation setup at end,Y,Y,N,"A baby (Henry Ward) freezes to death in an unheated apartment. His mother Jackie Ward is initially accused and arrested, but investigation reveals the building superintendent (Tirado) and enforcer (Turner) intentionally shut off heat to harass tenants on behalf of landlord Iris Corman. Jackie is cleared; Turner is convicted but gets mistrial; prosecutors pursue Corman. Jackie Ward was publicly accused, arrested, and held at Central Booking before being cleared when the true perpetrators were identified."
lo_s02_e19,2,19,The Fertile Fields,,Transcript appears complete through closing arguments,Y,Y,N,"Ezra Shore, a Jewish diamond dealer, is beaten and burned. Initial investigation focuses on four Black teenagers (Fontaine Robinson, Cyrus Tanner, Harley Monks, and Reginald Beggs) based on witness statements and Reggie's claim he saw his friends commit the murder. The teens are arrested and indicted, but Reggie recants on the stand, admitting he lied for 'juice' (street credibility). The case is withdrawn from the grand jury. Later investigation reveals Ezra's brother Isaac was laundering money for Joseph Tashjian, who actually killed Ezra when he threatened to expose the operation. Three innocent teens were publicly arrested, perp-walked, and indicted for a murder they didn't commit."
lo_s02_e20,2,20,Intolerance,,Complete transcript provided,Y,Y,N,"Tim Chong, a 17-year-old star physics student, is murdered. Police initially pursue gang-related theories due to his former White Tigers affiliation. Ron Borland is first arrested when his gun is matched to the murder weapon, but is later cleared when detectives discover his wife Marian and son Randy were the actual killers, motivated by academic competition between Tim and Carl Borland for a prestigious science prize. Ron Borland appears to have planted evidence on himself to protect his family."
lo_s02_e21,2,21,Silence,,Transcript appears complete through courtroom testimony scene,N,N,N,"Councilman James Vogel is murdered after being blackmailed over his sexual orientation. The investigation reveals Harold Dwyer (a prisoner) and attorney Peter Colson ran a blackmail scheme targeting multiple gay men through prison pen-pal correspondence. While other victims (George Harris, Jay Lingard) were blackmailed, none appear to have suffered public exposure or material harm beyond paying the blackmail. The case centers on the actual perpetrators (Dwyer/Colson) rather than falsely accused parties. Edward Vogel (the victim's father) knew about the blackmail and paid it to keep his son's sexuality secret, but this doesn't qualify him as falsely accused of a crime."
lo_s02_e22,2,22,The Working Stiff,,Full transcript provided,Y,Y,N,"Marshall McFadden, a wealthy takeover specialist, is murdered. Simon Vilanis, a terminally ill former factory worker who lost his job, health insurance, and pension after McFadden's takeover, becomes the primary suspect when his stolen gun is identified as the murder weapon. He is arrested and charged. Investigation reveals the real killers were union enforcer Joey Palmieri (hired by his cousin Eddie Palmieri) at the direction of banker Dwight Corcoran, who paid $100,000 through McFadden's charity foundation to prevent McFadden from testifying about bank fraud. Vilanis is cleared."
lo_s03_e01,3,1,Skin Deep,,Transcript appears complete through resolution.,Y,Y,N,"Photographer Julian Decker is murdered. Angela Brant, a model who worked as a prostitute through Decker, is accused and prosecuted for murder. Evidence includes her DNA matching vaginal secretions in victim's pajamas, her prints on murder weapon, lies about alibi. She nearly pleads guilty to protect her daughter. Eventually revealed that her 15-year-old daughter Tracy killed Decker after sexual relationship, and Angela attempted to take the blame. Angela is cleared and charges dismissed when father's testimony establishes her alibi."
lo_s03_e02,3,2,Conspiracy,,Complex conspiracy case involving assassination of activist Marcus Tate. Multiple suspects accused and cleared.,Y,Y,N,"Marcus Tate, leader of African-American Congress, is assassinated. Mitchell Koblin arrested based on eyewitness testimony and gun possession. Trial reveals weak ballistics evidence and racial tensions. Koblin acquitted on murder but convicted on weapons charge. Post-trial investigation suggests possible conspiracy involving AAC insiders Roland Books and Otis Cook, but insufficient evidence for prosecution."
lo_s03_e03,3,3,Forgiveness,,Transcript appears complete through closing arguments,N,N,N,"Beth Milgram is murdered after breaking up with boyfriend Tommy Beltran. Detectives initially investigate her father Curtis Milgram due to a violent past and insurance policy, but he has an alibi (speeding ticket 80 miles away). Tommy Beltran confesses and is prosecuted for murder two. Defense argues diminished capacity/crime of passion. No innocent persons were publicly accused or harmed by false accusations in this episode."
lo_s03_e04,3,4,The Corporate Veil,,Transcript appears complete through courtroom scene. Focus is on corporate liability for defective pacemakers causing deaths.,Y,Y,N,"Roberto Martinez, 18, dies when his pacemaker fails. Investigation reveals the device had corroded leads from a defective shipment. Initially Dr. Trevor Hellems is accused of unnecessary surgery and implanting a used pacemaker. Later, Jeffrey Suiter (who recycled/resold pacemakers with altered expiration dates) is arrested for murder. Both are eventually cleared or charges dismissed when evidence shows the real culprit was BioNorm Industries knowingly using defective components. The corporation used Steven Cleary (low-level technician) as a shield from liability."
lo_s03_e05,3,5,Wedded Bliss,,Transcript appears truncated mid-sentence at the end.,N,N,Y,"Investigation into murders of two Mexican teenagers (María and Eduardo Carranza) and inspector Ira Bender who were killed by Rudy Armandariz and Ellis/Betty Drake. The teenagers were enslaved in a sweatshop, handcuffed to beds. No innocent persons were publicly accused or harmed by false accusations in this episode - the investigation correctly identifies the perpetrators (Rudy Armandariz and the Drakes) from early on. The case focuses on proving their guilt, not on clearing innocent suspects."
lo_s03_e06,3,6,Helpless,,"Episode focuses on Dr. Alex Merritt, a gynecologist who sexually assaults patients under the guise of medical examinations. Multiple victims identified; main prosecution involves police psychologist Dr. Elizabeth Olivet.",N,N,N,"Dr. Alex Merritt is accused of sexually assaulting multiple female patients during gynecological examinations. The episode follows the prosecution of Merritt for raping Dr. Elizabeth Olivet, a police psychologist who deliberately returned to his office to gather evidence after hearing complaints from her patient Diane Perkins. Though initially convicted by a jury, the judge dismisses the verdict claiming entrapment. Merritt is later re-arrested after his nurse testifies and additional victims come forward. No false suspects are identified in this episode—the focus is entirely on prosecuting the actual perpetrator."
lo_s03_e07,3,7,Self Defense,,Transcript appears truncated mid-sentence at end. Full trial outcome and verdict unclear.,N,N,Y,"George Costas, a jewelry store owner, shoots and kills brothers Garland and Cecil Booker during an attempted robbery. While Costas claims self-defense, evidence suggests he executed Garland Booker outside the store after the initial confrontation. The brothers were the actual perpetrators attempting robbery, so no innocent persons were falsely accused. Costas is the defendant claiming justifiable homicide. The transcript ends mid-trial, making final disposition unclear."
lo_s03_e08,3,8,Prince of Darkness,,Transcript appears complete through final scene showing aftermath of Christobal killing Gaitan.,N,N,N,"Manuel Ortega and his wife are murdered at a restaurant. Investigation reveals Manuel worked as a travel agent booking flights for Colombian drug cartel members and hit men. Evidence suggests Manuel killed dealer Felix Arias (who harassed his wife), and the cartel sent hit man Javier Gaitan as retaliation. Gaitan is arrested, tried, and convicted of both murders. At his sentencing, victim's father Juan Christobal shoots Gaitan dead in the courtroom. Initially presented as grieving father, Christobal is later revealed to be a cartel operative who killed Gaitan to prevent him from cooperating with authorities. No innocent persons are publicly accused or harmed by false accusations in this episode - the investigation correctly identifies Gaitan as the restaurant shooter, and all other suspects (Manuel, Ramon) are actually guilty of their accused crimes."
lo_s03_e09,3,9,Point of View,,"Transcript shows Tommy Duff was accused/investigated as a possible mob associate and womanizer, but the episode reveals he was actually a victim of a contract killing disguised as self-defense.",N,N,N,"Tommy Duff is murdered on the street. Mary Kostrinski claims self-defense against attempted rape, but investigation reveals she was paid $30,000 by mob boss Jimmy Scanlon to kill Duff, who had been stealing from Scanlon. Kostrinski used a false rape claim and feminist defense to cover a contract killing. While Duff was initially investigated as a suspect in various mob activities, he was the victim, not falsely accused. No qualifying persons for the dataset."
lo_s03_e10,3,10,Consultation,,Transcript appears truncated mid-testimony. Final sections missing.,Y,Y,Y,"Nigerian woman Kelani Amoda dies of heroin overdose after drug-filled condom ruptures during smuggling operation. Investigation reveals Chief Nwaka orchestrated smuggling ring using Nigerian immigrants. Philip Marietta (employer) initially accused but later becomes cooperating witness. Babatunde Amoda (Kelani's husband) publicly confronted as possible conspirator but proven innocent. Fabian Ayinde (janitor/swallower) accused, arrested, then deported before trial. Transcript ends mid-trial with defense witness testifying."
